l1x, l1y, l1z, l2x, l2y, l2z, l3x, l3y, l3z, l4x, l4y, l4z, l5x, l5y, l5z, l6x, l6y, l6z 
280.933, -18.9358, -237.65, 127.797, 246.304, -270.001, -124.068, 214.891, -237.65, -277.203, 12.4765, -270.001, -124.067, -252.763, -237.65, 127.797, -221.35, -269.999, 
279.7, -16.8003, -236.022, 128.659, 244.811, -270.001, -125.3, 217.027, -236.022, -276.342, 10.9836, -270.001, -125.3, -250.627, -236.022, 128.659, -222.843, -269.999, 
278.357, -14.4744, -234.47, 129.576, 243.223, -270.001, -126.643, 219.353, -234.47, -275.425, 9.39555, -270.001, -126.643, -248.301, -234.47, 129.575, -224.431, -269.999, 
277.384, -12.7896, -233.49, 130.228, 242.092, -270.001, -127.616, 221.037, -233.49, -274.772, 8.26537, -270.001, -127.616, -246.617, -233.49, 130.228, -225.561, -269.999, 
275.857, -10.1435, -232.196, 131.237, 240.345, -270.001, -129.144, 223.684, -232.196, -273.763, 6.51812, -270.001, -129.144, -243.971, -232.196, 131.237, -227.309, -269.999, 
274.658, -8.0683, -231.389, 132.017, 238.994, -270.001, -130.342, 225.759, -231.389, -272.983, 5.16658, -270.001, -130.342, -241.895, -231.389, 132.017, -228.66, -269.999, 
273.454, -5.98197, -230.764, 132.794, 237.647, -270.001, -131.546, 227.845, -230.763, -272.206, 3.82045, -270.001, -131.546, -239.809, -230.764, 132.794, -230.006, -269.999, 
272.255, -3.90474, -230.326, 133.563, 236.316, -270.001, -132.746, 229.922, -230.325, -271.437, 2.48921, -270.001, -132.746, -237.732, -230.326, 133.563, -231.337, -269.999, 
270.898, -1.55538, -230.052, 134.428, 234.817, -270.001, -134.102, 232.271, -230.051, -270.572, 0.990396, -270.001, -134.102, -235.382, -230.052, 134.428, -232.836, -269.999, 
270.009, -0.0151482, -230.001, 134.995, 233.837, -270.001, -134.991, 233.812, -229.999, -270.006, 0.00964355, -270.001, -134.991, -233.842, -230.001, 134.994, -233.817, -269.999, 
269.002, 1.72821, -230.064, 135.635, 232.727, -270.001, -135.998, 235.555, -230.063, -269.365, -1.10055, -270.001, -135.998, -232.099, -230.064, 135.635, -234.927, -269.999, 
